Provinsi,Vol_2023,Nilai_2023,Harga_2023,Vol_2024,Nilai_2024,Harga_2024,Cluster,Label,MDS_X,MDS_Y,Sil
ACEH,45493.0,3293519.626,72396.18459982854,44896.0,3232837.458,72007.24915359943,2,C2: Besar,0.3626874368820235,1.2374605580358853,0.58196047672229
SUMATERA UTARA,34265.0,2213694.97,64605.13556106814,35392.0,2126572.9,60086.25960669078,2,C2: Besar,-0.5047108285023362,0.3822283044404157,0.6134489888181246
SUMATERA BARAT,6571.0,579778.36,88232.8960584386,4866.0,400736.92,82354.4841759145,3,C3: Menengah,1.4253435787770055,-1.4654878360215955,0.4176654944558973
RIAU,3579.0,250163.644,69897.63732886281,5981.0,466050.532,77921.841163685,0,C4: Kecil,0.3347043103677356,-1.5804809420898405,0.3454220653995658
JAMBI,19.0,1120.855,58992.36842105263,24.0,1358.095,56587.291666666664,0,C4: Kecil,-1.0164612883891218,-1.7540981711417798,0.5757857006666175
SUMATERA SELATAN,33872.0,2204580.325,65085.62603330184,40560.0,2822823.04,69596.22879684418,2,C2: Besar,-0.10077104231417809,0.6253559927444001,0.6791418643610465
BENGKULU,5705.0,617441.75,108228.17703768624,3806.0,319400.84,83920.34682080925,3,C3: Menengah,2.6343723008577853,-1.635906587276045,0.606172139154731
LAMPUNG,49697.0,3328175.068,66969.33553333199,45034.0,2937711.674,65233.19434205267,2,C2: Besar,-0.15521244082086125,1.2792376143001145,0.688336264027824
KEP. BANGKA BELITUNG,8807.0,600486.922,68182.91381855342,9309.0,617412.849,66324.29358685143,0,C4: Kecil,-0.14909888562425905,-1.2241869454062158,0.47496558747196915
KEP. RIAU,3423.0,272258.83,79538.07478819748,4921.0,386798.27,78601.55862629547,0,C4: Kecil,0.8488174821841343,-1.5710878746530903,-0.08822912226880254
DKI JAKARTA,211.0,9429.55,44689.81042654029,206.0,21571.0,104713.59223300971,0,C4: Kecil,-0.703051717029617,-3.3499756137711825,0.4217194829132768
JAWA BARAT,132599.0,8272624.161,62388.28468540487,124010.0,7941176.019,64036.5778485606,1,C1: Sangat Besar,-0.2100089479044355,6.441900034448924,0.4485101052354658
JAWA TENGAH,34884.0,2271168.026,65106.29589496618,34223.0,2273802.193,66440.76185606171,2,C2: Besar,-0.2417042949444015,0.4170687068504909,0.6485188969331945
DI YOGYAKARTA,7811.0,552647.97,70752.52464473179,6749.0,456294.57,67609.21173507186,0,C4: Kecil,0.021564341896691916,-1.3275862585998506,0.46389240626241174
JAWA TIMUR,118330.0,6838393.471,57790.86851178906,123647.0,7166363.188,57958.245553875146,1,C1: Sangat Besar,-0.8671889947319199,5.642125553617255,0.2661495069652903
BANTEN,16515.0,1466307.45,88786.40326975477,17021.0,1443558.733,84810.45373362317,3,C3: Menengah,1.539143585519056,-0.6404485325161206,0.5628206872984785
BALI,8869.0,486547.679,54859.361709324614,8649.0,486350.54,56231.99676263152,0,C4: Kecil,-1.1849296358840984,-1.2503417181800727,0.46545289342903406
NUSA TENGGARA BARAT,194648.0,13716956.306,70470.57409272122,196644.0,13943612.888,70907.89898496776,1,C1: Sangat Besar,0.512988348147271,11.518337071183671,0.47776968581170565
KALIMANTAN BARAT,4520.0,242133.015,53569.25110619469,4726.0,244706.03,51778.677528565386,0,C4: Kecil,-1.4328141088944235,-1.4749792965828137,0.48084617827831044
KALIMANTAN TENGAH,6407.0,213444.863,33314.322303730296,6191.0,209866.259,33898.604264254565,0,C4: Kecil,-3.0517094547815464,-1.3586905506603577,0.2230137703801827
KALIMANTAN SELATAN,8249.0,667399.1,80906.66747484544,12537.0,905769.258,72247.68748504427,0,C4: Kecil,0.7402777300838292,-1.1093204457454262,-0.11121249704693874
